Symptoms,Label
I suffer from unexplained muscle aches.,Physical health
I experience chronic constipation.,Physical health
I have frequent bouts of diarrhea.,Physical health
I get unexplained nosebleeds.,Physical health
I suffer from palpitations.,Physical health
I have bouts of severe sweating at night.,Physical health
I experience sudden swelling of hands and feet.,Physical health
I have persistent acne that doesn’t respond to treatment.,Physical health
I suffer from extreme light sensitivity.,Physical health
I have recurring urinary tract infections.,Physical health
"I experience short, sharp pains in my chest.",Physical health
I have a tingling sensation in my fingertips.,Physical health
I suffer from excessive gas and bloating.,Physical health
I experience frequent flare-ups of eczema.,Physical health
I have chronic sinus pressure.,Physical health
I suffer from recurrent bronchitis.,Physical health
I have severe pains in my neck.,Physical health
I experience swelling and pain in my knee.,Physical health
I have a chronic metallic taste in my mouth.,Physical health
I suffer from restless leg syndrome at night.,Physical health
I frequently feel anxious without any specific reason.,Mental health
I have been experiencing overwhelming sadness.,Mental health
I feel a persistent sense of hopelessness.,Mental health
I have lost interest in activities I used to enjoy.,Mental health
I am dealing with significant mood swings.,Mental health
I find it hard to concentrate on everyday tasks.,Mental health
I am experiencing severe emotional highs and lows.,Mental health
I feel a constant sense of worthlessness.,Mental health
I have been having trouble sleeping or sleeping too much.,Mental health
I feel persistently tired and have low energy.,Mental health
I am experiencing unexplained irritability.,Mental health
I am withdrawing from social interactions.,Mental health
I have a significant change in my eating habits.,Mental health
I am dealing with constant restlessness.,Mental health
I feel intense and uncontrolled anger.,Mental health
I have thoughts of self-harm or suicide.,Mental health
I am experiencing panic attacks.,Mental health
I have obsessive thoughts or behaviors.,Mental health
I am struggling with compulsive behaviors.,Mental health
I have been feeling detached from reality.,Mental health
I am experiencing hallucinations.,Mental health
I have a persistent sense of guilt.,Mental health
I am having difficulty dealing with stress.,Mental health
I feel disconnected from my own emotions.,Mental health
I am experiencing paranoia or distrust of others.,Mental health
I have a loss of motivation for most activities.,Mental health
I am feeling unusually confused.,Mental health
I am dealing with severe anxiety in social situations.,Mental health
I am struggling with feelings of overwhelm.,Mental health
I am experiencing persistent nightmares.,Mental health
I feel an excessive fear or worry about specific things.,Mental health
I am struggling with flashbacks of traumatic events.,Mental health
I am having trouble forming or maintaining relationships.,Mental health
I am experiencing severe physical reactions to stress.,Mental health
I am having difficulty controlling my thoughts.,Mental health
I have a strong feeling of dread about the future.,Mental health
I am experiencing prolonged periods of sadness.,Mental health
I am dealing with unexplained physical ailments.,Mental health
I feel a lack of interest in personal hygiene.,Mental health
I am experiencing significant weight gain or loss.,Mental health
I feel a sense of detachment from loved ones.,Mental health
I am dealing with an inability to cope with daily problems.,Mental health
I have a decreased ability to feel pleasure.,Mental health
I am experiencing frequent tearfulness.,Mental health
I have a strong sense of guilt or worthlessness.,Mental health
I am finding it hard to make decisions.,Mental health
I am experiencing an inability to feel empathy.,Mental health
I am dealing with persistent nervousness.,Mental health
I have a pervasive fear of being judged by others.,Mental health
I am experiencing a loss of sexual desire.,Mental health
I am feeling trapped or in an unbearable situation.,Mental health
I am dealing with excessive rumination on past events.,Mental health
I feel a general sense of malaise or being unwell.,Mental health
I am experiencing sudden changes in behavior.,Mental health
I have a lack of desire to interact with others.,Mental health
I am feeling a persistent emptiness.,Mental health
I am experiencing unexplained aches and pains.,Mental health
I have a strong sense of unreality or being detached from oneself.,Mental health
I am dealing with a decreased ability to cope with minor problems.,Mental health
I am experiencing intense fear or phobia.,Mental health
I feel a chronic sense of unease or nervous anticipation.,Mental health
I am dealing with an extreme sensitivity to rejection.,Mental health
I am experiencing frequent outbursts of anger.,Mental health
I have a pervasive pattern of unstable relationships.,Mental health
I am feeling a chronic sense of alienation from others.,Mental health
I am experiencing difficulty with memory or concentration.,Mental health
I have a decreased sense of self-worth.,Mental health
I am dealing with a persistent feeling of being overwhelmed.,Mental health
I am experiencing strong feelings of envy or jealousy.,Mental health
I feel an inability to be alone.,Mental health
I am feeling an intense and irrational fear of everyday situations.,Mental health
I am experiencing difficulty understanding and expressing emotions.,Mental health
I am dealing with a constant preoccupation with certain ideas.,Mental health
I have a lack of flexibility in thinking or behavior.,Mental health
I am experiencing extreme restlessness or agitation.,Mental health
I am feeling a deep fear of abandonment.,Mental health
I have a tendency to self-isolate or withdraw from others.,Mental health
I am experiencing a prolonged sense of grief or mourning.,Mental health
I feel an excessive need for admiration or attention.,Mental health
I am dealing with a severe reaction to criticism.,Mental health
I am experiencing a persistent feeling of being out of control.,Mental health
I have a distorted or negative body image.,Mental health
I am feeling a chronic sense of boredom or emptiness.,Mental health
I am experiencing an exaggerated sense of self-importance.,Mental health
I feel an intense and inappropriate display of emotions.,Mental health
I am dealing with a persistent distrust of others.,Mental health
