Economy,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Depression (%),Income group,average_learning_Adjusted_of_school,GDP(2022)
Albania,ALB,1991,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1992,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1993,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1994,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1995,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1996,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1997,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1998,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,1999,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2000,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2001,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2002,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2003,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2004,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2005,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2006,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2007,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2008,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2009,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2010,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2011,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2012,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2013,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2014,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2015,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2016,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Albania,ALB,2017,Middle,Middle,Middle,Middle,Low,Upper middle income,Middle,Middle
Algeria,DZA,1990,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1991,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1992,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1993,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1994,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1995,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1996,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1997,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1998,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,1999,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2000,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2001,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2002,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2003,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2004,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2005,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2006,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2007,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2008,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2009,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2010,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2011,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2012,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2013,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2014,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2015,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2016,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
Algeria,DZA,2017,Middle,Middle,Middle,High,Middle,Lower middle income,Middle,Middle
American Samoa,ASM,1990,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1991,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1992,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1993,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1994,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1995,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1996,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1997,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1998,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,1999,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2000,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2001,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2002,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2003,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2004,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2005,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2006,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2007,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2008,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2009,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2010,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2011,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2012,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2013,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2014,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2015,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2016,High,Low,Middle,Middle,Low,High income,Middle,Low
American Samoa,ASM,2017,High,Low,Middle,Middle,Low,High income,Middle,Low
Andorra,AND,1990,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1991,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1992,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1993,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1994,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1995,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1996,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1997,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1998,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,1999,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2000,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2001,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2002,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2003,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2004,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2005,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2006,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2007,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2008,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2009,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2010,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2011,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2012,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2013,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2014,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2015,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2016,High,High,High,High,Middle,High income,Middle,Low
Andorra,AND,2017,High,High,High,High,Middle,High income,Middle,Low
Angola,AGO,1990,Low,Low,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1991,Low,Low,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1992,Low,Low,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1993,Low,Low,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1994,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1995,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1996,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1997,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1998,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,1999,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2000,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2001,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2002,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2003,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2004,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2005,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2006,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2007,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2008,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2009,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2010,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2011,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2012,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2013,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2014,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2015,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2016,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Angola,AGO,2017,Low,Middle,Middle,Middle,High,Lower middle income,Low,Middle
Antigua and Barbuda,ATG,1990,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1991,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1992,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1993,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1994,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1995,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1996,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1997,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1998,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,1999,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2000,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2001,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2002,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2003,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2004,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2005,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2006,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2007,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2008,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2009,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2010,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2011,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2012,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2013,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2014,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2015,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2016,Middle,High,High,Middle,Low,High income,Middle,Low
Antigua and Barbuda,ATG,2017,Middle,High,High,Middle,Low,High income,Middle,Low
Argentina,ARG,1990,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1991,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1992,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1993,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1994,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1995,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1996,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1997,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1998,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,1999,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2000,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2001,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2002,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2003,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2004,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2005,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2006,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2007,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2008,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2009,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2010,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2011,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2012,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2013,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2014,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2015,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2016,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Argentina,ARG,2017,Middle,Middle,High,High,Middle,Upper middle income,Middle,High
Armenia,ARM,1990,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1991,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1992,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1993,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1994,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1995,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1996,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1997,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1998,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,1999,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2000,Middle,Middle,Low,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2001,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2002,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2003,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2004,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2005,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2006,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2007,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2008,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2009,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2010,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2011,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2012,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2013,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2014,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2015,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2016,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Armenia,ARM,2017,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Australia,AUS,1990,High,High,High,High,High,High income,High,High
Australia,AUS,1991,High,High,High,High,High,High income,High,High
Australia,AUS,1992,High,High,High,High,High,High income,High,High
Australia,AUS,1993,High,High,High,High,High,High income,High,High
Australia,AUS,1994,High,High,High,High,High,High income,High,High
Australia,AUS,1995,High,High,High,High,High,High income,High,High
Australia,AUS,1996,High,High,High,High,High,High income,High,High
Australia,AUS,1997,High,High,High,High,High,High income,High,High
Australia,AUS,1998,High,High,High,High,High,High income,High,High
Australia,AUS,1999,High,High,High,High,High,High income,High,High
Australia,AUS,2000,High,High,High,High,High,High income,High,High
Australia,AUS,2001,High,High,High,High,High,High income,High,High
Australia,AUS,2002,High,High,High,High,High,High income,High,High
Australia,AUS,2003,High,High,High,High,High,High income,High,High
Australia,AUS,2004,High,High,High,High,High,High income,High,High
Australia,AUS,2005,High,High,High,High,High,High income,High,High
Australia,AUS,2006,High,High,High,High,High,High income,High,High
Australia,AUS,2007,High,High,High,High,High,High income,High,High
Australia,AUS,2008,High,High,High,High,High,High income,High,High
Australia,AUS,2009,High,High,High,High,High,High income,High,High
Australia,AUS,2010,High,High,High,High,High,High income,High,High
Australia,AUS,2011,High,High,High,High,High,High income,High,High
Australia,AUS,2012,High,High,High,High,High,High income,High,High
Australia,AUS,2013,High,High,High,High,High,High income,High,High
Australia,AUS,2014,High,High,High,High,High,High income,High,High
Australia,AUS,2015,High,High,High,High,High,High income,High,High
Australia,AUS,2016,High,High,High,High,High,High income,High,High
Australia,AUS,2017,High,High,High,High,High,High income,High,High
Austria,AUT,1990,High,High,High,High,Middle,High income,High,High
Austria,AUT,1991,High,High,High,High,Middle,High income,High,High
Austria,AUT,1992,High,High,High,High,Middle,High income,High,High
Austria,AUT,1993,High,High,High,High,Middle,High income,High,High
Austria,AUT,1994,High,High,High,High,Middle,High income,High,High
Austria,AUT,1995,High,High,High,High,Middle,High income,High,High
Austria,AUT,1996,High,High,High,High,Middle,High income,High,High
Austria,AUT,1997,High,High,High,High,Middle,High income,High,High
Austria,AUT,1998,High,High,High,High,Middle,High income,High,High
Austria,AUT,1999,High,High,High,High,Middle,High income,High,High
Austria,AUT,2000,High,High,High,High,Middle,High income,High,High
Austria,AUT,2001,High,High,High,High,Middle,High income,High,High
Austria,AUT,2002,High,High,High,High,Middle,High income,High,High
Austria,AUT,2003,High,High,High,High,Middle,High income,High,High
Austria,AUT,2004,High,High,High,High,Middle,High income,High,High
Austria,AUT,2005,High,High,High,High,Middle,High income,High,High
Austria,AUT,2006,High,High,High,High,Middle,High income,High,High
Austria,AUT,2007,High,High,High,High,Middle,High income,High,High
Austria,AUT,2008,High,High,High,High,Middle,High income,High,High
Austria,AUT,2009,High,High,High,High,Middle,High income,High,High
Austria,AUT,2010,High,High,High,High,Middle,High income,High,High
Austria,AUT,2011,High,High,High,High,Middle,High income,High,High
Austria,AUT,2012,High,High,High,High,Middle,High income,High,High
Austria,AUT,2013,High,High,High,High,Middle,High income,High,High
Austria,AUT,2014,High,High,High,High,Middle,High income,High,High
Austria,AUT,2015,High,High,High,High,Middle,High income,High,High
Austria,AUT,2016,High,High,High,High,Middle,High income,High,High
Austria,AUT,2017,High,High,High,High,Middle,High income,High,High
Azerbaijan,AZE,1990,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1991,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1992,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1993,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1994,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1995,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1996,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1997,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1998,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,1999,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2000,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2001,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2002,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2003,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2004,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2005,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2006,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2007,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2008,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2009,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2010,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2011,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2012,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2013,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2014,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2015,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2016,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Azerbaijan,AZE,2017,Middle,Middle,Middle,Low,Low,Upper middle income,Middle,Middle
Bahamas,BHS,1990,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1991,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1992,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1993,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1994,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1995,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1996,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1997,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1998,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,1999,Middle,High,High,Middle,Low,High income,Middle,Middle
Bahamas,BHS,2000,Middle,High,High,Middle,Low,High income,Middle,Middle
